X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;D1
480;118;0;0;0;3;0;5;1;0;0;0;730
450;128;0;5;1;2;0;7;1;1;1;0;200
65;84;0;0;0;4;0;6;0;0;0;0;290
160;102;0;0;0;3;0;8;1;1;1;1;310
60;94;0;5;0;4;0;6;0;1;0;1;320
50;94;0;5;0;1;0;6;1;1;1;0;320
16;92;0;5;1;4;1;4;1;0;1;0;3
350;75;0;3;0;2;0;5;1;1;1;0;710
60;99;0;5;0;2;1;4;1;0;1;0;49
220;106;0;0;0;4;1;7;0;0;0;0;170
90;98;0;0;1;0;0;7;1;1;0;0;37
200;87;0;4;1;3;0;3;0;1;0;0;340
170;89;0;0;0;3;0;6;1;1;0;1;69
200;109;0;0;0;0;0;6;1;1;1;1;70
480;104;0;1;1;3;0;7;0;1;0;0;200
22;92;0;0;0;2;1;6;0;0;0;0;210
50;100;0;5;0;3;0;6;1;0;1;0;120
250;117;0;0;0;3;0;7;1;1;0;2;710
200;93;0;5;0;0;0;6;1;1;1;0;400
500;120;0;5;0;1;0;7;1;1;0;0;550
180;110;0;4;0;1;0;7;1;1;0;2;400
500;109;0;0;1;4;0;7;1;1;0;0;59
130;83;0;3;1;4;0;7;0;1;0;0;730
200;97;0;0;0;4;0;6;1;1;1;0;370
60;118;0;0;0;3;0;6;1;1;1;0;2
50;83;0;5;0;2;0;5;1;1;0;0;85
370;110;0;3;1;4;1;5;1;1;1;1;370
500;104;0;0;0;3;0;7;1;1;0;0;1100
120;90;0;4;0;3;1;5;0;0;0;0;470
500;93;0;2;0;3;0;6;1;1;1;0;710
250;93;0;0;0;4;0;7;1;1;0;0;290
400;94;0;0;0;4;0;5;1;1;1;0;84
65;90;0;0;0;3;0;6;1;0;1;0;480
35;100;0;4;0;0;0;6;1;1;0;0;950
120;93;0;3;0;1;0;7;0;1;1;0;610
200;95;0;0;0;2;1;7;0;0;0;0;660
300;85;0;3;0;1;0;6;1;1;0;0;550
400;96;0;3;1;2;1;5;0;1;0;0;870
100;93;0;5;0;2;1;6;1;1;1;0;4
100;94;0;5;1;4;1;6;1;1;1;0;490
210;87;0;4;0;3;0;6;1;0;0;0;75
500;101;0;4;0;4;0;7;1;1;1;1;560
470;81;0;3;0;2;1;6;0;1;0;0;100
400;107;0;0;0;3;0;7;1;1;1;0;1100
180;98;0;5;1;2;1;7;1;1;0;2;3
12;71;0;5;0;1;0;7;1;0;1;0;15
350;95;0;5;0;0;0;7;1;1;1;0;1100
50;87;0;4;0;4;0;5;0;1;0;0;220
350;102;0;0;0;1;0;6;1;1;1;0;990
350;101;0;4;0;1;0;7;1;0;0;0;450
30;87;0;5;0;3;0;6;0;1;0;0;150
400;96;0;0;0;3;0;6;1;1;0;2;490
110;102;0;3;0;2;1;7;0;0;0;0;28
